Actual_Time_Spent_hrs,Issue_Type,Priority,Severity,Story_Points,Epic_Size,Number_of_Subtasks,Number_of_Linked_Issues,Number_of_Comments,Number_of_Attachments,Number_of_Description_Edits,Complexity,Average_Historical_Hours,Assignee_Experience_yrs,Team_Velocity,Team_Size
18.8,Task,Critical,Major,5,44,1,0,3,2,2,Low,1.8,2.2,36,9
11.3,Bug,Medium,Major,1,50,3,2,7,1,4,Medium,9.3,5.8,46,11
16.6,Story,Medium,Major,2,75,3,4,7,2,1,Medium,14.3,7.2,57,11
8.4,Bug,Low,Minor,8,74,4,2,14,0,1,Medium,26.4,2.4,21,9
13.8,Story,Medium,Trivial,1,72,1,2,7,0,3,Very High,9.5,7.6,52,5
11.7,Bug,Medium,Minor,8,5,1,1,13,3,2,Medium,6.4,3.9,24,6
16.2,Bug,Critical,Major,1,83,2,1,4,1,1,Medium,3.7,9.9,33,8
9.7,Story,Critical,Blocker,8,99,1,1,5,2,1,High,9.6,9.8,46,5
16.8,Bug,Medium,Minor,3,93,1,1,9,1,1,Medium,6.4,8.1,55,5
9.6,Story,Medium,Trivial,5,115,0,2,13,0,2,Medium,7.1,3.8,46,11
22.3,Bug,High,Trivial,2,101,2,2,10,1,1,Very High,10.1,9.4,33,7
10.3,Bug,High,Minor,1,56,2,2,8,1,4,Medium,5.9,10,34,5
2,Bug,Low,Major,2,39,1,4,7,1,1,High,2.9,4.9,46,7
6,Bug,Medium,Trivial,1,73,1,1,5,1,4,Very High,11.5,6.3,27,11
13.2,Task,Medium,Blocker,2,9,3,3,8,2,5,Medium,5.4,0.6,40,11
34.1,Bug,Medium,Minor,3,104,2,4,7,1,3,Low,15.7,0.9,53,7
21.8,Story,Low,Blocker,3,21,1,2,13,0,5,High,4.3,5.3,47,10
1.6,Bug,Low,Major,5,57,1,1,10,0,1,High,19.4,6.3,43,6
3.8,Bug,High,Major,5,56,1,2,5,2,5,Low,6.3,3.5,36,9
25.9,Task,Medium,Major,5,18,2,1,10,2,3,Medium,24.3,1.4,25,8
19.4,Bug,Low,Major,3,33,4,2,13,4,3,Medium,2.8,7.9,57,10
45.1,Task,Medium,Major,3,12,1,3,7,1,4,High,18,4.5,38,5
9.4,Bug,High,Major,3,102,0,0,8,1,2,Low,5.7,6.7,20,10
6.8,Story,High,Major,8,108,1,2,4,1,3,Medium,2.3,6.7,57,6
13.6,Story,Medium,Blocker,2,5,2,4,9,2,2,Medium,4.7,5.7,45,8
9.2,Task,Medium,Major,1,33,0,1,6,0,4,Medium,24.8,2.2,24,5
24.5,Story,Critical,Major,5,40,3,2,10,0,3,Very High,7,6.4,23,9
9,Story,Medium,Blocker,2,55,1,1,7,0,1,Very High,12.2,3.6,44,9
10.8,Bug,Medium,Minor,8,41,1,6,8,1,3,Low,7.1,8.3,41,7
6.1,Bug,Medium,Trivial,8,97,7,0,6,0,4,Low,9.6,2.3,32,7
20.9,Task,Low,Minor,1,73,1,1,8,1,0,Low,7,3.3,42,11
6.4,Bug,Medium,Major,1,57,1,2,13,0,3,Medium,5.2,4.7,52,8
17,Story,Critical,Major,3,100,0,2,4,2,2,Medium,12.5,7.5,44,5
37.6,Task,High,Minor,5,56,5,4,8,1,3,Medium,2.3,7.3,29,7
2.8,Bug,Medium,Major,2,92,1,0,2,0,1,Low,3.8,3.7,37,6
31.2,Task,Critical,Major,5,87,2,2,7,1,1,Low,13.7,5.4,46,10
15.6,Story,Low,Trivial,3,16,0,1,7,2,4,Low,8.9,2.7,45,10
5.4,Story,Medium,Major,2,56,2,2,8,0,3,Medium,16.7,7.8,21,10
14,Task,Medium,Major,1,5,2,0,8,0,5,Medium,2.5,2.4,29,11
20.5,Bug,High,Minor,5,11,4,0,4,0,2,Medium,27.1,8.3,39,7
7.2,Bug,Low,Major,2,21,2,1,10,1,3,Low,13.8,9.4,57,8
17.6,Story,Medium,Major,8,102,2,3,10,0,2,High,27.1,9.9,22,6
32.8,Bug,High,Minor,3,47,2,3,5,1,1,High,17.6,8.6,29,9
9,Story,High,Trivial,3,75,0,0,5,0,3,Low,7,2.6,47,6
6.1,Task,High,Blocker,8,21,5,2,4,0,1,Medium,15.5,4.5,38,10
11.9,Story,Medium,Minor,8,63,1,2,6,1,2,Low,23.4,1.3,36,8
13.5,Bug,Low,Minor,3,7,6,1,7,1,3,Low,12.2,2.1,42,9
25.3,Task,Medium,Minor,2,33,3,2,7,1,3,High,13.6,1,47,5
11.7,Story,Low,Major,5,26,3,3,8,0,2,Medium,4.8,6.6,46,8
9.6,Story,Critical,Major,3,42,2,2,7,1,4,Medium,13.9,5.6,51,7
6,Story,Medium,Major,2,58,1,1,6,0,1,Very High,9.7,9.2,57,8
3.2,Task,Medium,Trivial,8,111,5,1,9,1,2,High,7,4.9,31,8
4.6,Story,High,Blocker,2,97,0,0,8,3,4,Medium,18.7,6.6,39,8
4.6,Task,Medium,Minor,1,118,2,4,10,0,1,Medium,2.7,4.3,25,9
10.8,Task,Medium,Minor,1,54,3,1,7,3,3,Low,12.5,8.4,22,8
3.7,Bug,High,Minor,5,110,1,1,6,1,4,High,15.6,9.3,22,5
12.5,Story,High,Minor,5,73,2,2,12,2,4,Low,8.5,4.6,42,8
37.1,Task,High,Blocker,2,34,1,1,9,1,3,Low,25.6,1.3,28,7
25.7,Story,Low,Blocker,2,27,2,1,6,0,2,Low,9.4,2.1,52,11
10.8,Task,Medium,Minor,2,89,1,3,7,0,3,Low,4.7,7.3,55,10
51.5,Task,High,Blocker,5,94,1,2,8,0,1,Medium,4.6,3.6,31,6
13.5,Story,Low,Major,1,51,4,5,6,0,0,High,9.8,8,45,9
14.8,Story,Medium,Blocker,8,25,3,1,6,0,4,Very High,4.1,7.6,56,7
11.8,Task,High,Minor,2,24,3,2,13,1,2,High,30.2,7.1,29,5
12.7,Task,Low,Major,13,27,1,0,5,2,1,Low,6.7,8.2,30,8
8.8,Story,High,Minor,2,72,1,5,6,0,0,Low,22.5,7.7,38,9
10.9,Bug,Medium,Major,5,25,3,0,6,1,1,Low,20,6.5,24,10
31.3,Story,Medium,Trivial,2,25,5,1,8,2,3,Low,11.9,0.5,43,9
27.4,Story,Low,Major,1,5,1,1,8,0,4,Medium,8.3,5.4,54,9
1.9,Story,High,Minor,8,19,5,0,10,0,2,Very High,9.7,6.2,47,10
4.1,Story,Medium,Minor,8,21,1,3,15,0,2,Medium,17.4,9.6,49,10
7.3,Story,Medium,Major,3,55,2,3,6,0,1,High,11.1,6.7,38,7
23.1,Story,High,Blocker,5,67,2,1,5,1,6,Medium,18.8,6,25,10
27.8,Bug,High,Major,3,18,1,1,11,2,1,Medium,5.2,5.6,58,11
20.5,Story,Critical,Blocker,8,63,2,0,6,0,2,Very High,12.2,1.5,38,11
5.4,Story,Medium,Minor,2,87,2,5,10,0,3,High,6.8,4.6,50,6
8.9,Bug,Medium,Major,3,54,2,0,6,0,6,Medium,6.2,1.8,30,6
17.8,Bug,Critical,Minor,3,38,2,1,6,2,2,Medium,7.1,1,36,10
11,Story,High,Trivial,3,10,3,2,7,0,3,Low,14.6,3.6,36,5
10,Story,Medium,Major,8,113,0,2,8,0,1,High,13.2,6.6,34,10
10.1,Bug,Low,Major,2,53,4,3,8,4,1,Low,1.4,8.7,25,7
26.2,Task,High,Major,1,10,1,0,7,0,1,Medium,25.1,8.2,51,7
19,Story,Medium,Major,3,73,0,1,10,0,4,Medium,12,3.3,59,7
10.5,Task,High,Major,5,11,1,3,6,0,9,High,5.7,0.9,30,10
16.1,Story,Medium,Trivial,2,101,0,0,9,1,5,Low,16,4.3,32,8
4.8,Story,Low,Trivial,3,81,1,2,10,3,3,Low,19.6,3.5,36,7
8.9,Task,High,Major,8,55,1,1,13,0,2,High,10.6,4,47,7
24.6,Story,Low,Minor,2,5,2,0,7,0,4,Medium,9.2,5.8,37,9
3.5,Story,Medium,Trivial,5,17,2,2,9,3,4,Low,7.2,0.8,47,10
19.1,Bug,Medium,Minor,5,47,0,5,8,0,1,Very High,14.6,4,35,10
1.9,Story,Medium,Major,3,31,2,1,10,1,4,High,13.9,5.8,55,11
34.5,Bug,High,Minor,8,75,2,3,6,0,2,Medium,17.7,4.6,59,9
8.8,Bug,High,Major,5,7,3,2,12,1,5,High,15.5,6.8,39,11
16.9,Bug,High,Major,3,62,5,2,11,2,4,Low,12.9,2.3,58,9
14,Bug,Low,Minor,3,93,2,2,6,0,3,Very High,11.1,2,46,7
14.4,Task,Low,Major,5,101,1,3,8,1,1,Very High,11.8,3.4,59,7
15.9,Bug,Medium,Major,3,108,2,0,8,0,1,Medium,17,1.5,52,10
3,Story,Critical,Major,8,21,0,0,5,0,5,Medium,16.2,2.7,21,9
14.6,Task,High,Major,3,49,5,1,7,1,1,High,9.2,1.3,32,5
11.4,Story,High,Trivial,2,82,1,3,10,3,5,Medium,8.1,4.3,21,5
8.8,Bug,Medium,Major,2,105,1,0,5,2,3,Medium,27.5,7.3,56,6
7.3,Story,Medium,Minor,1,62,1,1,10,0,3,Medium,3.1,3.2,24,8
14.8,Story,Medium,Blocker,1,60,2,0,6,1,5,Low,6.2,0.5,25,8
6.1,Story,Low,Major,8,58,1,4,8,0,4,Medium,11.5,5.8,51,6
24.4,Task,Low,Major,5,91,3,1,6,1,3,Medium,21.5,7.1,43,11
17.6,Task,Critical,Minor,5,92,4,1,10,2,2,Low,19.2,4.2,36,9
15.4,Story,Medium,Minor,5,33,2,0,5,2,2,High,10.5,3.3,28,9
23.8,Bug,Medium,Minor,8,106,2,3,10,1,2,Medium,3.2,5.2,59,7
2.6,Story,Low,Minor,3,58,2,3,12,2,5,Medium,6.6,1.5,59,11
4.7,Bug,Critical,Minor,8,31,2,2,7,2,3,Low,12.2,6.6,21,8
18.1,Task,Medium,Major,3,106,1,1,10,0,0,Medium,15,7.5,28,7
7.6,Bug,High,Minor,8,108,2,3,9,0,1,High,20.5,7.2,25,7
8.3,Bug,Critical,Blocker,5,49,2,2,8,0,2,Medium,9.6,3.6,38,8
4.1,Task,Medium,Trivial,2,118,2,3,5,0,4,Medium,3.9,8.5,52,9
6.1,Story,High,Blocker,3,91,5,2,10,0,1,High,3.1,9.5,38,11
24.7,Story,Low,Blocker,3,35,2,0,9,0,0,Medium,8.3,3.3,52,5
17.9,Story,Low,Major,1,40,3,2,11,0,4,Medium,16.2,3,49,9
14.7,Task,High,Major,3,85,0,2,12,3,4,Low,9.7,7.2,58,9
8.6,Bug,High,Minor,2,65,2,2,11,5,2,Medium,2.8,7.2,32,7
14.1,Task,Medium,Major,1,41,2,3,3,0,2,High,7.7,5.3,37,7
26,Bug,Medium,Minor,8,71,1,1,9,1,1,Medium,20,9.3,21,11
7.7,Task,Medium,Minor,5,40,2,1,6,1,2,Low,1.7,1.9,22,7
12.7,Task,Low,Major,8,9,1,1,11,2,6,Low,7.9,5,25,8
35.7,Bug,Medium,Minor,5,50,2,2,6,0,1,Low,19.2,0.8,47,8
20.3,Story,Medium,Major,3,83,4,2,7,0,2,Low,5.6,1,32,6
8.6,Bug,Medium,Minor,3,56,3,1,9,3,3,Medium,10.5,1,39,7
19.3,Story,High,Minor,5,53,1,0,9,0,2,Low,15.7,5.2,51,8
3.5,Story,Medium,Trivial,13,10,3,2,8,0,4,Medium,32.1,6.1,50,6
12.4,Story,Low,Trivial,2,14,3,0,6,0,6,Very High,16.5,0.5,28,11
19.3,Bug,Medium,Minor,8,100,4,0,6,1,7,Low,4.1,6.5,22,10
16.7,Bug,High,Trivial,8,27,3,2,7,1,2,High,22.5,5.2,50,7
19.2,Bug,Medium,Trivial,5,116,1,0,6,0,3,Medium,11.2,2.6,34,7
21.8,Bug,Low,Major,8,21,2,0,8,1,9,High,3.6,0.6,23,5
17.5,Story,Medium,Trivial,3,114,2,1,8,0,3,Low,1.7,2,36,8
17.2,Task,High,Major,13,88,2,1,10,1,4,Very High,3,6.2,50,6
14.9,Story,Medium,Minor,5,48,3,3,11,3,2,Very High,6.5,6.8,48,7
5.6,Story,High,Blocker,1,45,2,0,5,2,5,Very High,9.2,6.6,30,8
24.7,Task,Critical,Minor,8,19,0,3,7,1,4,High,11.5,2,51,6
12.7,Story,High,Minor,3,48,1,1,7,1,1,Low,15.7,9.2,59,5
20,Task,High,Major,3,114,1,2,6,2,4,Low,3.1,4.4,22,6
23.2,Story,Medium,Minor,3,62,1,0,10,1,4,Very High,5.7,7.8,20,7
9,Bug,Low,Major,1,90,1,1,9,0,3,Low,10.1,2.1,27,9
9.5,Bug,Critical,Trivial,3,54,3,1,13,0,1,Medium,9.5,5,36,11
10.5,Story,Medium,Blocker,8,56,0,1,5,0,5,Low,11.8,5.5,27,9
27.5,Bug,Low,Minor,1,74,2,6,6,1,4,Medium,8,7.8,52,5
6.6,Bug,High,Minor,2,72,1,2,7,0,3,Medium,17.8,6.4,45,10
30.4,Story,Medium,Major,1,67,2,1,18,1,6,Very High,13.5,4.3,21,7
14.8,Story,Medium,Minor,3,62,1,2,7,0,2,High,13.4,3.2,48,7
15.5,Story,Medium,Major,5,27,1,4,9,0,4,Medium,3.4,9.7,34,8
22.5,Bug,Medium,Minor,5,48,1,1,9,1,5,Medium,19.6,3.2,49,9
13.7,Story,High,Major,8,113,2,1,5,0,1,Medium,21.2,1.7,31,8
24.9,Story,Medium,Trivial,5,87,2,2,4,1,0,Low,3.3,3.4,21,7
8.9,Task,Medium,Major,2,113,2,1,9,1,6,High,30.1,3.6,40,5
29.8,Story,Medium,Major,8,99,2,1,8,3,4,Medium,10.7,1.7,48,10
9.4,Task,High,Minor,5,48,1,1,1,2,4,Medium,6.3,7.2,48,9
30.5,Task,High,Trivial,3,56,1,0,7,1,4,Low,6.1,6.4,35,11
9.6,Story,Medium,Minor,5,71,2,1,5,1,1,Medium,2.7,3.5,50,8
10.7,Bug,High,Blocker,8,32,2,1,7,2,2,Medium,22.9,9.9,52,5
6,Story,Low,Minor,5,71,3,0,9,1,5,Low,6.6,6.7,21,7
7.3,Story,Critical,Minor,3,82,2,3,7,0,5,High,7.4,7.2,23,6
12.7,Story,Medium,Trivial,5,22,1,2,4,1,3,Low,3.2,5.8,58,6
15.2,Story,High,Minor,1,31,2,4,7,1,6,Medium,12.4,5.7,24,9
23.8,Story,Low,Major,3,55,2,0,2,1,3,High,10.1,0.7,21,10
11.2,Bug,Medium,Blocker,3,64,2,0,7,2,4,High,23.5,7.8,27,10
5.4,Story,Medium,Major,2,78,2,2,8,0,0,High,2.5,9.2,55,5
16.7,Bug,High,Major,1,53,2,1,6,3,1,High,11.9,1.7,25,8
14.5,Task,Medium,Major,1,19,1,2,7,1,2,Low,3.5,8.1,29,11
17.9,Bug,Critical,Trivial,5,87,0,0,3,1,2,Very High,5.5,5.6,55,5
8.1,Bug,Medium,Minor,8,77,1,2,8,1,7,Low,10.1,3.2,23,9
8.9,Story,Medium,Major,13,72,5,0,7,1,3,Low,27.2,9.2,58,7
8.1,Story,Low,Blocker,2,19,4,2,7,1,3,Low,1,0.7,33,10
26.6,Story,High,Blocker,3,55,3,2,10,0,2,Very High,1.4,3.1,31,5
30,Bug,Medium,Minor,8,52,2,1,6,2,6,Medium,3.6,8.9,36,9
8.6,Story,High,Minor,2,76,2,0,6,1,2,Medium,9.9,5.1,40,11
8.7,Bug,Critical,Minor,5,117,2,0,9,1,5,Low,2.9,6.2,32,9
19.4,Task,Critical,Blocker,5,5,2,2,4,2,2,Low,1.6,7.6,52,8
32,Task,Medium,Blocker,1,11,0,2,5,1,4,Medium,12.5,1.9,32,7
36.2,Story,High,Major,8,57,1,4,6,0,5,Low,7.1,2.5,28,5
8.3,Bug,High,Minor,8,35,1,1,13,1,2,Medium,19.5,10,39,9
9.9,Story,Low,Major,1,22,0,2,6,1,3,High,12.6,2.8,59,7
15.7,Bug,High,Minor,1,16,4,2,9,2,1,Medium,12.8,5.6,20,8
16.2,Story,Low,Minor,1,52,2,0,2,0,3,High,5.5,3.3,32,11
11.5,Bug,Medium,Major,2,34,0,2,5,0,3,Low,21,8.6,41,9
7.1,Task,Low,Trivial,3,101,2,0,8,0,2,Low,4,9.6,32,8
12.7,Bug,Low,Trivial,3,115,0,1,4,2,3,High,7.5,1.8,54,7
36.2,Story,Medium,Blocker,2,11,3,0,9,1,0,High,10.5,6.2,20,8
8.9,Story,Medium,Major,8,96,2,3,6,1,2,Medium,19.1,8.2,52,5
15.1,Story,High,Minor,3,117,1,2,9,3,6,High,3,8.3,24,8
50.5,Bug,Low,Major,1,7,1,4,4,2,1,Medium,13.1,4.7,49,11
8.9,Task,Medium,Minor,2,111,3,2,5,0,3,Low,5,2.6,24,6
20,Story,Low,Major,3,67,3,1,3,2,4,Medium,7.8,4.2,44,6
37.1,Story,Medium,Major,3,10,3,0,9,1,3,Low,18.8,7.6,45,6
18.9,Bug,High,Major,2,99,0,0,9,2,1,Medium,7.9,9.9,38,6
25.5,Story,Medium,Major,1,106,0,1,7,0,3,Low,7.7,5.8,31,5
21.7,Story,High,Minor,8,19,3,1,9,0,0,Low,4.1,2.4,27,9
18,Bug,Medium,Minor,13,75,3,1,16,0,4,High,4,0.9,29,6
29.4,Bug,High,Minor,2,47,1,4,11,0,2,Low,13.6,9.5,37,10
19.6,Task,Medium,Minor,3,98,4,0,8,2,2,Low,10.5,5.1,30,6
11.6,Bug,Medium,Major,5,95,0,2,10,1,2,Very High,12.5,7.3,49,11
14.3,Bug,High,Minor,5,85,1,2,7,0,2,Medium,7.9,6.8,24,9
16.5,Story,Low,Trivial,3,22,3,0,11,1,5,Medium,8.2,9,43,6
9.8,Task,High,Minor,8,26,2,1,6,0,3,High,13.9,3,32,10
14.8,Bug,High,Blocker,3,65,2,1,8,0,3,Medium,10.6,4.7,55,9
13.4,Story,Medium,Minor,3,65,1,0,5,2,2,Low,1.2,9.2,46,6
19.6,Bug,Low,Major,5,57,4,1,12,0,2,Medium,24.4,6.1,51,10
43,Bug,Low,Minor,13,30,2,2,8,1,0,High,6,1.2,33,9
15.3,Bug,Critical,Trivial,5,119,2,1,12,1,3,High,18,2.3,21,9
32.5,Task,High,Minor,1,95,1,2,7,3,4,Low,18.3,2.8,23,7
19.1,Bug,Low,Major,2,44,4,3,7,1,4,Low,14.3,9.9,30,8
14.7,Bug,Medium,Major,3,92,5,0,9,1,3,Medium,15.9,2.6,56,9
9.4,Story,Medium,Blocker,2,12,2,3,11,1,3,Medium,31.2,8.8,57,6
14.8,Task,High,Minor,5,25,2,0,8,0,1,Low,1.4,1.2,56,5
14.2,Bug,Low,Trivial,8,97,0,2,16,1,4,High,13.3,2.2,32,9
7.7,Story,Medium,Blocker,5,47,3,0,13,0,3,Very High,18.1,8.8,28,6
8.7,Bug,High,Minor,13,25,2,2,6,0,3,Medium,2.6,9,46,9
16.6,Story,Low,Major,2,7,5,2,5,1,4,Very High,15.7,2.2,21,7
32.3,Story,Medium,Major,8,35,6,4,7,1,3,Low,3.9,2.7,46,5
12.4,Story,Critical,Minor,5,31,3,3,13,0,3,High,7,5.5,31,5
3.9,Bug,High,Major,3,114,3,2,9,1,4,Medium,8.3,1,31,6
1.6,Bug,Medium,Trivial,5,31,3,0,9,2,1,Low,5.5,9.5,22,8
5.9,Bug,Low,Minor,1,77,2,2,10,3,1,Medium,9,3.9,45,11
20.3,Story,Low,Trivial,5,61,3,3,9,1,5,Medium,11.2,5.1,34,7
4.7,Bug,Medium,Major,3,101,2,1,9,0,0,High,3.1,1.5,46,8
22.3,Task,High,Minor,2,37,0,1,8,3,6,High,20,0.8,54,5
19.6,Task,Medium,Major,5,94,2,2,10,1,2,Medium,11.8,4.9,32,11
12.1,Task,High,Blocker,5,96,2,1,4,2,4,High,18,1.7,24,10
7.8,Task,Critical,Major,2,48,2,2,8,3,1,Low,10.6,6.5,36,5
11,Story,Medium,Major,1,47,2,0,8,1,8,High,29.4,8,38,11
16.4,Story,Low,Minor,3,35,1,0,4,0,1,Medium,18.8,0.8,39,10
4.8,Bug,Medium,Minor,3,69,2,1,4,1,7,Low,8.5,6.3,42,8
30.4,Story,Critical,Minor,8,88,5,0,5,1,1,Very High,5.3,8.2,31,10
16.3,Story,High,Major,8,80,1,1,6,0,0,Medium,5.4,4.7,51,10
17.5,Story,Low,Blocker,3,21,0,0,9,1,1,High,5.7,9.6,48,9
19.5,Task,High,Blocker,5,19,2,1,6,1,5,Medium,16.9,1.6,24,8
28.6,Bug,Medium,Blocker,3,38,0,2,9,2,2,Very High,10.6,3.6,21,10
14.8,Bug,Critical,Blocker,5,118,3,3,10,0,3,Low,27.8,2.7,25,8
20.3,Task,Low,Minor,2,84,2,1,7,1,4,Medium,9,10,40,10
7.9,Bug,Medium,Major,3,8,3,3,10,0,5,Low,8.6,3.3,54,9
36.3,Story,High,Blocker,5,76,4,0,8,0,3,Low,6.4,4.2,34,9
14.2,Task,Medium,Minor,1,102,1,3,11,0,2,Low,6,8.6,37,10
7.9,Story,Medium,Blocker,5,114,1,2,5,0,2,Medium,2.3,9.3,21,9
9.4,Story,Low,Minor,8,93,1,0,7,1,2,High,20.7,9.4,24,7
2.4,Bug,Medium,Major,3,83,2,1,3,1,4,Medium,3.3,5.8,56,5
9.4,Bug,Medium,Major,3,32,1,2,4,2,2,Medium,5.4,6.8,25,10
1.2,Task,Critical,Blocker,8,77,3,3,8,0,5,Very High,8.2,3.8,38,5
21.2,Story,Medium,Minor,5,6,4,2,8,1,4,High,2.4,6.3,35,9
17.1,Story,Medium,Major,2,21,2,1,6,3,2,Low,6.9,3.4,31,10
6.2,Bug,High,Major,2,62,3,1,8,0,0,Low,4.1,7.6,43,10
12.6,Bug,Low,Minor,5,78,1,1,12,0,6,Low,9,3.4,28,9
13,Task,Medium,Major,3,13,1,1,9,0,8,Low,37,8.9,22,7
5.2,Story,High,Major,2,35,4,4,10,1,3,Medium,7.7,1.9,36,7
11.1,Story,High,Major,2,70,3,1,3,1,2,High,12.2,5.9,49,6
13.2,Bug,High,Minor,8,92,1,0,12,0,2,Low,16.8,5.4,46,8
10.9,Story,High,Minor,5,66,3,6,8,0,2,Medium,5.8,3,43,11
7.9,Task,Low,Major,13,23,2,1,6,0,1,Medium,1.5,0.8,58,5
6,Story,Critical,Minor,5,85,2,0,8,0,0,Medium,3.3,1.9,26,10
10.7,Bug,Low,Minor,8,111,4,2,12,0,4,High,10.6,9.7,28,5
8.6,Story,High,Blocker,2,117,2,1,9,0,3,Very High,2.6,9.4,35,7
18.7,Task,Medium,Major,5,78,2,5,3,1,2,Medium,9.6,1.6,30,8
29.7,Story,Critical,Major,1,118,4,2,4,0,7,Medium,11,4.1,28,7
23,Task,High,Minor,5,59,4,1,6,1,7,Medium,3.8,4.9,20,11
13.5,Story,High,Minor,3,32,2,3,8,2,0,Medium,10.2,5,54,10
8.1,Task,Medium,Minor,2,106,1,0,5,1,4,Medium,6.7,3.3,39,11
22.6,Story,Medium,Minor,8,116,1,1,13,0,2,High,12.7,9.2,27,6
19.5,Bug,High,Major,8,96,2,2,8,3,2,Medium,14.7,9.1,26,10
28.5,Bug,High,Major,1,118,2,1,3,0,5,Very High,5.7,0.7,56,6
14.8,Bug,Low,Minor,5,54,2,4,14,0,1,Low,30.2,6.7,56,6
35.1,Task,Critical,Trivial,3,69,2,2,7,0,2,Medium,2.4,1.2,39,10
14.8,Task,High,Minor,3,7,2,1,7,0,3,Medium,4.3,6.2,24,10
8.1,Story,Medium,Minor,8,83,2,2,15,0,2,High,5.6,8.7,31,7
9.2,Bug,High,Trivial,2,56,2,2,7,1,3,Low,12.7,6.7,40,8
18.2,Bug,Medium,Blocker,8,14,2,1,5,0,3,Medium,2.6,5,39,10
8.6,Task,Medium,Major,2,25,6,1,7,0,3,Medium,22.6,9.6,24,9
35,Story,Medium,Major,5,41,2,3,8,0,4,Medium,6.2,7.6,42,5
17.2,Bug,Medium,Minor,5,19,1,2,11,0,0,Medium,7.3,2.9,26,9
13.3,Story,High,Blocker,2,91,3,0,9,0,1,Medium,4.1,4.2,20,8
14.1,Bug,Medium,Major,2,82,1,2,9,0,5,High,11.6,7.7,44,11
10.9,Bug,High,Major,8,83,5,3,8,2,5,Medium,15.2,0.7,38,10
3.1,Story,High,Minor,5,78,2,1,6,1,3,High,7.3,1.1,21,7
9.2,Bug,High,Blocker,2,13,1,2,14,0,5,High,21.5,8.7,31,7
32.4,Task,Low,Major,3,48,2,1,10,0,3,Low,7.1,0.9,44,10
15.1,Bug,High,Blocker,1,43,1,1,7,0,3,Medium,8,6.9,51,7
24.6,Bug,Medium,Minor,2,9,0,1,7,2,3,Low,6.5,3.5,37,6
25,Bug,Medium,Minor,3,29,5,3,7,1,6,Medium,13.1,8.3,50,6
12.7,Task,Medium,Minor,1,60,3,1,13,0,3,Medium,9.8,8.5,28,6
19.7,Story,Medium,Minor,8,110,1,4,10,1,6,High,6.1,9.6,40,9
3.5,Story,High,Blocker,5,94,4,1,3,0,1,Low,10.2,1.4,58,10
30.9,Bug,Medium,Trivial,8,68,0,4,13,3,6,Medium,13.5,4.5,26,10
29.4,Bug,High,Trivial,5,76,2,2,7,0,2,Low,11.4,6,32,11
17.9,Story,Low,Minor,8,90,0,1,14,0,3,Very High,5.8,9.2,39,5
15.4,Task,Medium,Minor,3,56,4,1,5,3,3,Medium,11,3,32,7
12.8,Task,Critical,Minor,5,93,4,1,6,1,0,High,4.8,1.2,47,7
26.4,Bug,High,Major,13,116,2,2,13,2,4,Medium,7.3,2.4,56,9
21.1,Story,Medium,Major,5,80,2,2,6,0,2,Medium,5.1,5.2,44,11
10.1,Task,Medium,Trivial,1,13,3,2,5,1,2,Very High,9,7,45,11
5.4,Story,Medium,Minor,5,14,1,2,9,2,3,Medium,14,7.1,52,10
4.6,Task,Medium,Minor,8,116,4,2,9,2,2,Medium,28,1.2,59,5
26.2,Bug,High,Trivial,5,14,0,1,9,3,4,Medium,21.1,7.7,59,5
12.6,Task,High,Major,3,77,2,2,8,1,3,High,30.1,6.8,46,9
17.7,Task,Medium,Major,5,66,0,0,7,1,3,Low,17,4.4,34,7
13.7,Task,Critical,Major,13,94,0,1,9,0,6,Medium,22.8,5.9,22,8
4.6,Story,Medium,Major,1,103,6,2,6,1,7,High,0.3,7.8,48,11
3.5,Story,Medium,Trivial,5,95,2,2,6,1,4,Low,36.2,3,50,8
9.6,Task,Medium,Blocker,2,64,1,3,5,4,3,Medium,8.6,9.4,59,5
10.2,Bug,High,Major,5,99,2,0,7,1,3,Medium,36.5,1.8,37,11
10.2,Bug,Medium,Blocker,5,23,4,2,7,1,5,Low,26.9,9.1,43,5
10.4,Story,Medium,Trivial,2,111,1,0,10,1,3,Medium,10.5,7.5,58,7
41.3,Task,Medium,Blocker,2,42,5,4,7,2,0,High,1.4,6.8,27,5
24.4,Task,Low,Major,5,10,1,2,8,1,2,Medium,17.2,1.3,48,9
15.2,Bug,High,Major,1,19,0,1,9,0,1,Low,0.5,9.2,56,8
12.4,Task,Medium,Trivial,2,97,1,2,5,1,1,Medium,15.2,3.3,56,11
12.7,Story,Low,Major,8,51,1,0,13,1,3,Very High,2.3,7.6,28,8
20.6,Bug,High,Blocker,2,49,0,0,10,2,4,Low,9.9,8.9,49,5
12.3,Story,Critical,Major,3,9,4,3,12,0,2,Low,16.7,2.8,34,9
22.9,Bug,Critical,Major,8,82,1,1,4,5,2,Very High,14.2,9.2,59,10
16.3,Bug,Medium,Blocker,2,57,2,0,9,2,5,High,15.2,6.3,31,5
41.5,Task,Low,Minor,3,70,4,1,8,0,2,High,15.2,6.8,46,5
11.8,Story,Medium,Major,5,66,2,0,7,1,5,Low,17.6,9.2,50,10
25.4,Story,Low,Minor,5,27,4,0,6,0,6,Low,6.1,5.5,32,9
5.8,Task,Critical,Blocker,8,48,2,4,9,2,1,Low,20.7,4.7,34,9
